datetime,machineID,Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Target,RUL_hours,Failure_Type,month,hour,dayofweek,machine_age_hours,hours_since_last,Temp_Difference,Temp_Rate_of_Change,Power,Torque_Speed_Ratio,RPM_Variance,Type_H,Type_L,Type_M
2015-01-06 19:23:53,1,L,310.0,320.0,1498,39.9,9,0,16893.706388888888,No Failure,1,19,1,0,8.0,10.0,0.0,6259.446213136729,0.026617745163442293,0.0,False,True,False
2015-01-11 02:40:41,1,L,310.0,320.0,1500,40.1,15,0,16790.42638888889,No Failure,1,2,6,8,103.28,10.0,0.0,6299.220844504021,0.026715522984676884,1.4142135623730951,False,True,False
2015-01-15 02:42:01,1,L,310.0,320.0,1500,40.1,21,0,16694.404166666667,No Failure,1,2,3,16,96.02222222222223,10.0,0.0,6299.220844504021,0.026715522984676884,1.154700538379268,False,True,False
2015-02-16 07:20:40,1,L,310.0,320.0,1498,40.2,69,0,15921.76,No Failure,2,7,0,24,772.6441666666667,10.0,0.0,6306.50971849866,0.026817878585723817,1.1547005383792515,False,True,False
2015-03-07 22:10:47,1,L,310.0,320.0,1499,40.5,98,0,15450.924722222222,No Failure,3,22,5,32,470.8352777777778,10.0,0.0,6357.814594504021,0.027,1.0,False,True,False
2015-04-03 15:00:32,1,L,310.0,320.0,1496,40.6,138,0,14810.095555555556,No Failure,4,15,4,40,640.8291666666667,10.0,0.0,6360.757372654155,0.027120908483633934,1.51657508881031,False,True,False
2015-04-15 14:28:36,1,L,310.0,320.0,1495,40.6,156,0,14522.627777777778,No Failure,4,14,2,48,287.46777777777777,10.0,0.0,6356.505529490617,0.027139037433155083,1.9148542155126762,False,True,False
2015-04-16 03:02:34,1,L,310.0,320.0,1495,40.7,157,0,14510.061666666666,No Failure,4,3,3,56,12.56611111111111,10.0,0.0,6372.1619470509395,0.027205882352941177,2.065879266282796,False,True,False
2015-05-03 02:27:27,1,L,310.0,320.0,1493,40.7,182,0,14102.646944444445,No Failure,5,2,6,64,407.4147222222222,10.0,0.0,6363.637315683647,0.027242302543507364,2.472066162365218,False,True,False
2015-05-12 00:26:51,1,L,310.0,320.0,1492,40.8,195,0,13888.656944444445,No Failure,5,0,1,72,213.99,10.0,0.0,6375.0,0.027327528466175484,2.836272984824339,False,True,False
